1,AADAAKOODAA,アアダコウダ,RADWIMPS,野田洋次郎,野田洋次郎,
2,I I U,アイアイユー,RADWIMPS,野田洋次郎,野田洋次郎,
3,アイアンバイブル,アイアンバブル,RADWIMPS,野田洋次郎,野田洋次郎,
4,あいたい,アイタイ,RADWIMPS,野田洋次郎,野田洋次郎,
5,あいとわ,アイトワ,RADWIMPS,野田洋次郎,野田洋次郎,
6,愛にできることはまだあるかい,アイニデキルコトハマダアルカイ,RADWIMPS,野田洋次郎,野田洋次郎,映画「天気の子」
7,'I' Novel,アイノベル,RADWIMPS,野田洋次郎,野田洋次郎,
8,愛へ,アイヘ,RADWIMPS,野田洋次郎,野田洋次郎,
9,あいまい,アイマイ,RADWIMPS,野田洋次郎,野田洋次郎,
10,あいラブユー,アイラブユー,RADWIMPS,野田洋次郎,野田洋次郎,
11,青い春,アオイハル,RADWIMPS,野田洋次郎,野田洋次郎,
12,雨音子,アマオトコ,RADWIMPS,野田洋次郎,野田洋次郎,
13,アメノヒニキク,アメノヒニキク,RADWIMPS,野田洋次郎,野田洋次郎,
14,アンチクローン,アンチクローン,RADWIMPS,野田洋次郎,野田洋次郎,
15,イーディーピー～飛んで火に入る夏の君～,イーディーピートンデヒニイルナツノキミ,RADWIMPS,野田洋次郎,野田洋次郎,
16,いいんですか?,イインデスカ,RADWIMPS,野田洋次郎,野田洋次郎,
17,いえない,イエナイ,RADWIMPS,野田洋次郎,野田洋次郎,
18,IKIJIBIKI feat.Taka,イキジビキフィートタカ,RADWIMPS,野田洋次郎,野田洋次郎,
19,嫌ん,イヤン,RADWIMPS,野田洋次郎,野田洋次郎,
20,うたかた歌,ウタカタウタ,RADWIMPS feat. 菅田将暉,野田洋次郎,野田洋次郎,映画『キネマの神様』主題歌
21,遠恋,エンレン,RADWIMPS,野田洋次郎,野田洋次郎,
22,O&O,オーアンドオー,RADWIMPS,野田洋次郎,野田洋次郎,
23,オーダーメイド,オーダーメイド,RADWIMPS,野田洋次郎,野田洋次郎,
24,億万笑者,オクマンショウシャ,RADWIMPS,野田洋次郎,野田洋次郎,
25,05410-(ん),オコシテ,RADWIMPS,野田洋次郎,野田洋次郎,
26,おしゃかしゃま,オシャカシャマ,RADWIMPS,野田洋次郎,野田洋次郎,
27,おとぎ,オトギ,RADWIMPS,野田洋次郎,野田洋次郎,
28,音の葉,オトノハ,RADWIMPS,野田洋次郎,野田洋次郎,
29,お風呂あがりの,オフロアガリノ,RADWIMPS,野田洋次郎,野田洋次郎,
30,俺色スカイ,オレイロスカイ,RADWIMPS,野田洋次郎,野田洋次郎,
31,カイコ,カイコ,RADWIMPS,野田洋次郎,野田洋次郎,
32,会心の一撃,カイシンノイチゲキ,RADWIMPS,野田洋次郎,野田洋次郎,
33,かくれんぼ,カクレンボ,RADWIMPS,野田洋次郎,野田洋次郎,NHK 東日本大震災 11年特集ドラマ「あなたのそばで明日が笑う」主題歌
34,風たちの声,カゼタチノコエ,RADWIMPS,野田洋次郎,野田洋次郎,映画『天気の子』主題歌
35,カタルシスト,カタルシスト,RADWIMPS,野田洋次郎,野田洋次郎,2018フジテレビ系サッカー テーマ曲
36,愛し,カナシ,RADWIMPS,野田洋次郎,野田洋次郎,
37,学芸会,ガクゲイカイ,RADWIMPS,野田洋次郎,野田洋次郎,
38,記号として,キゴウトシテ,RADWIMPS,野田洋次郎,野田洋次郎,
39,祈跡,キセキ,RADWIMPS,野田洋次郎,野田洋次郎,
40,君と羊と青,キミトヒツジトアオ,RADWIMPS,野田洋次郎,野田洋次郎,テーマ/2011NHKサッカー
41,救世主,キュウセイシュ,RADWIMPS,野田洋次郎,野田洋次郎,
42,狭心症,キョウシンショウ,RADWIMPS,野田洋次郎,野田洋次郎,
43,ギミギミック,ギミギミック,RADWIMPS,野田洋次郎,野田洋次郎,
44,グーの音,グーノネ,RADWIMPS,野田洋次郎,野田洋次郎,
45,グラウンドゼロ,グラウンドゼロ,RADWIMPS,野田洋次郎,野田洋次郎,
46,携帯電話,ケイタイデンワ,RADWIMPS,野田洋次郎,野田洋次郎,
47,告白,コクハク,RADWIMPS,野田洋次郎,野田洋次郎,
48,ココロノナカ (Complete ver.),ココロノナカコンプリートバージョン,RADWIMPS,野田洋次郎,野田洋次郎,
49,コンドーム,コンドーム,RADWIMPS,野田洋次郎,野田洋次郎,
50,五月の蝿,ゴガツノハエ,RADWIMPS,野田洋次郎,野田洋次郎,
51,最後の歌,サイゴノウタ,RADWIMPS,野田洋次郎,野田洋次郎,
52,最後の晩餐,サイゴノバンサン,RADWIMPS,野田洋次郎,野田洋次郎,
53,最大公約数,サイダイコウヤクスウ,RADWIMPS,野田洋次郎,野田洋次郎,
54,サイハテアイニ,サイハテアイニ,RADWIMPS,野田洋次郎,野田洋次郎,「アクエリアス」/CM
55,叫べ,サケベ,RADWIMPS,野田洋次郎,野田洋次郎,
56,ささくれ,ササクレ,RADWIMPS,野田洋次郎,野田洋次郎,
57,さみしい僕,サミシイボク,RADWIMPS,野田洋次郎,野田洋次郎,
58,傘拍子,サンビョウシ,RADWIMPS,野田洋次郎,野田洋次郎,
59,Shape Of Miracle,シェープオブミラクル,RADWIMPS,野田洋次郎,野田洋次郎,映画「空海-KU-KAI-美しき王妃の謎」挿入歌
60,シザースタンド,シザースタンド,RADWIMPS,野田洋次郎,野田洋次郎,
61,週刊少年ジャンプ,シュウカンショウネンジャンプ,RADWIMPS,野田洋次郎,野田洋次郎,
62,シュプレヒコール,シュプレヒコール,RADWIMPS,野田洋次郎,野田洋次郎,
63,春灯,シュウトウ,RADWIMPS,野田洋次郎,野田洋次郎,
64,シリメツレツ,シリメツレツ,RADWIMPS,野田洋次郎,野田洋次郎,
65,新世界,シンセカイ,RADWIMPS,野田洋次郎,野田洋次郎,
66,心臓,シンゾウ,RADWIMPS,野田洋次郎,野田洋次郎,
