2,241,82.09,+7,"共有されるコメントです。
コツやポイントが書き込めます。SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/1/1 1:18,2020/1/1 1:18
9,40,41.32,+3,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/1/3 19:12,2020/1/3 19:12
1,221,35.32,±0,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/1/6 17:43,2020/1/6 17:43
3,241,73.48,-0,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/1/9 16:57,2020/1/9 16:57
1,40,54.15,-3,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/1/17 11:52,2020/1/17 11:52
1,453,16.66,-1,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/1/18 6:27,2020/1/18 6:27
8,545,19.21,-7,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/1/28 13:21,2020/1/28 13:21
1,221,33.03,±0,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/2/4 2:59,2020/2/4 2:59
4,26,32.50,+7,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/2/9 18:21,2020/2/9 18:21
3,241,28.58,-5,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/2/10 10:21,2020/2/10 10:21
8,26,16.12,+1,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/2/21 7:08,2020/2/21 7:08
5,26,61.64,+7,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/3 9:53,2020/3/3 9:53
1,545,88.36,±0,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/3 21:32,2020/3/3 21:32
8,171,72.03,-6,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/9 6:57,2020/3/9 6:57
1,40,81.16,-3,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/11 5:57,2020/3/11 5:57
7,453,16.21,-7,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/11 14:19,2020/3/11 14:19
6,545,48.71,+5,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/12 17:34,2020/3/12 17:34
1,545,88.36,±0,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/22 3:04,2020/3/22 3:04
6,312,89.65,-2,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/27 1:11,2020/3/27 1:11
1,312,72.50,-5,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/29 5:00,2020/3/29 5:00
9,312,38.35,-6,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/31 17:14,2020/3/31 17:14
4,241,33.41,+3,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/3/31 19:03,2020/3/31 19:03
8,221,45.62,+7,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/4/3 13:22,2020/4/3 13:22
1,221,44.26,±0,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/4/4 6:30,2020/4/4 6:30
1,453,35.10,-8,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/4/15 3:25,2020/4/15 3:25
1,221,38.41,-8,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/4/24 17:16,2020/4/24 17:16
1,221,64.49,-0,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/4/27 11:25,2020/4/27 11:25
4,171,29.24,-8,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/4/27 13:47,2020/4/27 13:47
9,221,57.96,-7,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/4/29 20:45,2020/4/29 20:45
5,428,22.95,+7,"共有されるコメントです。
コツやポイントが書き込めます。
SampleSampleSampleSampleSampleSampleSampleSampleSampleSample","共有されない自分だけのメモです。
自分用にコツやポイントのメモを取れます。
SampleSampleSampleSampleSampleSampleSampleSampleSample",2020/4/30 22:41,2020/4/30 22:41
